OPERATION_TYPE, OP_COUNT, THREAD_COUNT, OP_TYPE_PERCENT, RANDOM_KEYS(Y/N), TOTAL_COST, AVG_COST_PER_THREAD, TOTAL_COST_PER_OP, AVG_COST_PER_OP, TOTAL_THROUGHPUT, AVG_THROUGHPUT
read, 100000, 1, 100, 0, 0.000000, -1, 0.000000, -1, inf, -1
read, 1000000, 1, 100, 0, 5.000000, -1, 0.000005, -1, 200000.000000, -1
read, 10000000, 1, 100, 0, 52.000000, -1, 0.000005, -1, 192307.692308, -1
write, 100000, 1, 100, 0, 1.000000, -1, 0.000010, -1, 100000.000000, -1
write, 1000000, 1, 100, 0, 12.000000, -1, 0.000012, -1, 83333.333333, -1
write, 10000000, 1, 100, 0, 158.000000, -1, 0.000016, -1, 63291.139241, -1
p-read, 100000, 2, 100, 0, 6.000000, 3.000000, 0.000060, 0.000030, 66666.666667, 33333.333333
p-read, 100000, 4, 100, 0, 53.000000, 13.250000, 0.000530, 0.000132, 30219.780220, 7554.945055
p-read, 100000, 8, 100, 0, 46.000000, 5.750000, 0.000460, 0.000058, 140000.000000, 17500.000000
p-read, 100000, 12, 100, 0, 84.000000, 7.000000, 0.000840, 0.000070, 171428.571429, 14285.714286
p-read, 100000, 16, 100, 0, 147.000000, 9.187500, 0.001470, 0.000092, 174444.444444, 10902.777778
p-read, 100000, 24, 100, 0, 381.000000, 15.875000, 0.003810, 0.000159, 151250.000000, 6302.083333
p-read, 1000000, 2, 100, 0, 48.000000, 24.000000, 0.000048, 0.000024, 83333.333333, 41666.666667
p-read, 1000000, 4, 100, 0, 165.000000, 41.250000, 0.000165, 0.000041, 97009.291521, 24252.322880
p-read, 1000000, 8, 100, 0, 491.000000, 61.375000, 0.000491, 0.000061, 131303.568078, 16412.946010
p-read, 1000000, 12, 100, 0, 1133.000000, 94.416667, 0.001133, 0.000094, 127193.671318, 10599.472610
p-read, 1000000, 16, 100, 0, 1897.000000, 118.562500, 0.001897, 0.000119, 135054.627284, 8440.914205
p-read, 1000000, 24, 100, 0, 5333.000000, 222.208333, 0.005333, 0.000222, 108072.747508, 4503.031146
p-read, 10000000, 2, 100, 0, 332.000000, 166.000000, 0.000033, 0.000017, 120481.927711, 60240.963855
p-read, 10000000, 4, 100, 0, 1034.000000, 258.500000, 0.000103, 0.000026, 154768.582608, 38692.145652
p-read, 10000000, 8, 100, 0, 3786.000000, 473.250000, 0.000379, 0.000047, 169178.339943, 21147.292493
p-read, 10000000, 12, 100, 0, 4878.000000, 406.500000, 0.000488, 0.000041, 295264.714001, 24605.392833
p-read, 10000000, 16, 100, 0, 9689.000000, 605.562500, 0.000969, 0.000061, 264245.338890, 16515.333681
p-read, 10000000, 24, 100, 0, 20829.000000, 867.875000, 0.002083, 0.000087, 276561.251214, 11523.385467
p-rw(r), 100000, 1, 75, 0, 1.000000, 1.000000, 0.000013, 0.000013, 75000.000000, 75000.000000
p-rw(w), 100000, 1, 25, 0, 0.000000, 0.000000, 0.000000, 0.000000, inf, inf
p-rw(r), 100000, 1, 50, 0, 1.000000, 1.000000, 0.000020, 0.000020, 50000.000000, 50000.000000
p-rw(w), 100000, 1, 50, 0, 1.000000, 1.000000, 0.000020, 0.000020, 50000.000000, 50000.000000
p-rw(r), 100000, 1, 25, 0, 0.000000, 0.000000, 0.000000, 0.000000, inf, inf
p-rw(w), 100000, 1, 75, 0, 1.000000, 1.000000, 0.000013, 0.000013, 75000.000000, 75000.000000
p-rw(r), 100000, 2, 75, 0, 4.000000, 2.000000, 0.000107, 0.000053, 37500.000000, 18750.000000
p-rw(w), 100000, 2, 25, 0, 2.000000, 1.000000, 0.000160, 0.000080, 25000.000000, 12500.000000
p-rw(r), 100000, 2, 50, 0, 2.000000, 1.000000, 0.000080, 0.000040, 50000.000000, 25000.000000
p-rw(w), 100000, 2, 50, 0, 2.000000, 1.000000, 0.000080, 0.000040, 50000.000000, 25000.000000
p-rw(r), 100000, 2, 25, 0, 2.000000, 1.000000, 0.000160, 0.000080, 25000.000000, 12500.000000
p-rw(w), 100000, 2, 75, 0, 2.000000, 1.000000, 0.000053, 0.000027, 75000.000000, 37500.000000
p-rw(r), 100000, 4, 75, 0, 0.000000, 0.000000, 0.000000, 0.000000, inf, inf
p-rw(w), 100000, 4, 25, 0, 0.000000, 0.000000, 0.000000, 0.000000, inf, inf
p-rw(r), 100000, 4, 50, 0, 4.000000, 1.000000, 0.000320, 0.000080, 50000.000000, 12500.000000
p-rw(w), 100000, 4, 50, 0, 2.000000, 0.500000, 0.000160, 0.000040, inf, inf
p-rw(r), 100000, 4, 25, 0, 3.000000, 0.750000, 0.000480, 0.000120, inf, inf
