OPERATION_TYPE, OP_COUNT, THREAD_COUNT, OP_TYPE_PERCENT, RANDOM_KEYS(Y/N), TOTAL_COST, AVG_COST_PER_THREAD, TOTAL_COST_PER_OP, AVG_COST_PER_OP, TOTAL_THROUGHPUT, AVG_THROUGHPUT
read, 100000, 1, 100, 0, 0.000000, -1, 0.000000, -1, inf, -1
write, 100000, 1, 100, 0, 1.000000, -1, 0.000010, -1, 100000.000000, -1
p-read, 100000, 2, 100, 0, 4.000000, 2.000000, 0.000040, 0.000020, 100000.000000, 50000.000000
p-rw(r), 100000, 1, 75, 0, 1.000000, 1.000000, 0.000013, 0.000013, 75000.000000, 75000.000000
p-rw(w), 100000, 1, 25, 0, 1.000000, 1.000000, 0.000040, 0.000040, 25000.000000, 25000.000000
p-rw(r), 100000, 1, 50, 0, 1.000000, 1.000000, 0.000020, 0.000020, 50000.000000, 50000.000000
p-rw(w), 100000, 1, 50, 0, 1.000000, 1.000000, 0.000020, 0.000020, 50000.000000, 50000.000000
p-rw(r), 100000, 1, 25, 0, 0.000000, 0.000000, 0.000000, 0.000000, inf, inf
p-rw(w), 100000, 1, 75, 0, 1.000000, 1.000000, 0.000013, 0.000013, 75000.000000, 75000.000000
p-read, 100000, 4, 100, 0, 8.000000, 2.000000, 0.000080, 0.000020, 200000.000000, 50000.000000
p-rw(r), 100000, 2, 75, 0, 0.000000, 0.000000, 0.000000, 0.000000, inf, inf
p-rw(w), 100000, 2, 25, 0, 0.000000, 0.000000, 0.000000, 0.000000, inf, inf
p-rw(r), 100000, 2, 50, 0, 1.000000, 0.500000, 0.000040, 0.000020, inf, inf
p-rw(w), 100000, 2, 50, 0, 2.000000, 1.000000, 0.000080, 0.000040, 50000.000000, 25000.000000
p-rw(r), 100000, 2, 25, 0, 0.000000, 0.000000, 0.000000, 0.000000, inf, inf
p-rw(w), 100000, 2, 75, 0, 2.000000, 1.000000, 0.000053, 0.000027, 75000.000000, 37500.000000
p-read, 100000, 8, 100, 0, 24.000000, 3.000000, 0.000240, 0.000030, 266666.666667, 33333.333333
p-rw(r), 100000, 4, 75, 0, 4.000000, 1.000000, 0.000213, 0.000053, 75000.000000, 18750.000000
p-rw(w), 100000, 4, 25, 0, 0.000000, 0.000000, 0.000000, 0.000000, inf, inf
p-rw(r), 100000, 4, 50, 0, 4.000000, 1.000000, 0.000320, 0.000080, 50000.000000, 12500.000000
p-rw(w), 100000, 4, 50, 0, 3.000000, 0.750000, 0.000240, 0.000060, inf, inf
p-rw(r), 100000, 4, 25, 0, 5.000000, 1.250000, 0.000800, 0.000200, 21875.000000, 5468.750000
p-rw(w), 100000, 4, 75, 0, 6.000000, 1.500000, 0.000320, 0.000080, 56250.000000, 14062.500000
p-read, 100000, 12, 100, 0, 60.000000, 5.000000, 0.000600, 0.000050, 240000.000000, 20000.000000
p-rw(r), 100000, 6, 75, 0, 6.000000, 1.000000, 0.000480, 0.000080, 75000.000000, 12500.000000
p-rw(w), 100000, 6, 25, 0, 0.000000, 0.000000, 0.000000, 0.000000, inf, inf
p-rw(r), 100000, 6, 50, 0, 6.000000, 1.000000, 0.000720, 0.000120, 49998.000000, 8333.000000
p-rw(w), 100000, 6, 50, 0, 5.000000, 0.833333, 0.000600, 0.000100, inf, inf
p-rw(r), 100000, 6, 25, 0, 11.000000, 1.833333, 0.002640, 0.000440, 14581.000000, 2430.166667
p-rw(w), 100000, 6, 75, 0, 8.000000, 1.333333, 0.000640, 0.000107, 62500.000000, 10416.666667
p-read, 100000, 16, 100, 0, 108.000000, 6.750000, 0.001080, 0.000067, 238095.238095, 14880.952381
p-rw(r), 100000, 8, 75, 0, 2.000000, 0.250000, 0.000213, 0.000027, inf, inf
p-rw(w), 100000, 8, 25, 0, 0.000000, 0.000000, 0.000000, 0.000000, inf, inf
p-rw(r), 100000, 8, 50, 0, 11.000000, 1.375000, 0.001760, 0.000220, 40625.000000, 5078.125000
p-rw(w), 100000, 8, 50, 0, 8.000000, 1.000000, 0.001280, 0.000160, 50000.000000, 6250.000000
p-rw(r), 100000, 8, 25, 0, 8.000000, 1.000000, 0.002560, 0.000320, 25000.000000, 3125.000000
p-rw(w), 100000, 8, 75, 0, 8.000000, 1.000000, 0.000853, 0.000107, 75000.000000, 9375.000000
p-read, 100000, 24, 100, 0, 208.000000, 8.666667, 0.002080, 0.000087, 277777.777778, 11574.074074
p-rw(r), 100000, 12, 75, 0, 12.000000, 1.000000, 0.001920, 0.000160, 75000.000000, 6250.000000
p-rw(w), 100000, 12, 25, 0, 4.000000, 0.333333, 0.001920, 0.000160, inf, inf
p-rw(r), 100000, 12, 50, 0, 12.000000, 1.000000, 0.002880, 0.000240, 49992.000000, 4166.000000
p-rw(w), 100000, 12, 50, 0, 6.000000, 0.500000, 0.001440, 0.000120, inf, inf
p-rw(r), 100000, 12, 25, 0, 10.000000, 0.833333, 0.004801, 0.000400, inf, inf
p-rw(w), 100000, 12, 75, 0, 12.000000, 1.000000, 0.001920, 0.000160, 75000.000000, 6250.000000
read, 1000000, 1, 100, 0, 4.000000, -1, 0.000004, -1, 250000.000000, -1
write, 1000000, 1, 100, 0, 9.000000, -1, 0.000009, -1, 111111.111111, -1
p-read, 1000000, 2, 100, 0, 32.000000, 16.000000, 0.000032, 0.000016, 125000.000000, 62500.000000
p-rw(r), 1000000, 1, 75, 0, 8.000000, 8.000000, 0.000011, 0.000011, 93750.000000, 93750.000000
p-rw(w), 1000000, 1, 25, 0, 5.000000, 5.000000, 0.000020, 0.000020, 50000.000000, 50000.000000
p-rw(r), 1000000, 1, 50, 0, 13.000000, 13.000000, 0.000026, 0.000026, 38461.538462, 38461.538462
p-rw(w), 1000000, 1, 50, 0, 11.000000, 11.000000, 0.000022, 0.000022, 45454.545455, 45454.545455
p-rw(r), 1000000, 1, 25, 0, 8.000000, 8.000000, 0.000032, 0.000032, 31250.000000, 31250.000000
p-rw(w), 1000000, 1, 75, 0, 13.000000, 13.000000, 0.000017, 0.000017, 57692.307692, 57692.307692
p-read, 1000000, 4, 100, 0, 93.000000, 23.250000, 0.000093, 0.000023, 172101.449275, 43025.362319
p-rw(r), 1000000, 2, 75, 0, 18.000000, 9.000000, 0.000048, 0.000024, 83333.333333, 41666.666667
p-rw(w), 1000000, 2, 25, 0, 10.000000, 5.000000, 0.000080, 0.000040, 50000.000000, 25000.000000
p-rw(r), 1000000, 2, 50, 0, 25.000000, 12.500000, 0.000100, 0.000050, 40064.102564, 20032.051282
p-rw(w), 1000000, 2, 50, 0, 26.000000, 13.000000, 0.000104, 0.000052, 38461.538462, 19230.769231
p-rw(r), 1000000, 2, 25, 0, 12.000000, 6.000000, 0.000096, 0.000048, 41666.666667, 20833.333333
p-rw(w), 1000000, 2, 75, 0, 30.000000, 15.000000, 0.000080, 0.000040, 50000.000000, 25000.000000
p-read, 1000000, 8, 100, 0, 248.000000, 31.000000, 0.000248, 0.000031, 258522.727273, 32315.340909
p-rw(r), 1000000, 4, 75, 0, 36.000000, 9.000000, 0.000192, 0.000048, 83333.333333, 20833.333333
p-rw(w), 1000000, 4, 25, 0, 22.000000, 5.500000, 0.000352, 0.000088, 45833.333333, 11458.333333
p-rw(r), 1000000, 4, 50, 0, 48.000000, 12.000000, 0.000384, 0.000096, 41666.666667, 10416.666667
p-rw(w), 1000000, 4, 50, 0, 39.000000, 9.750000, 0.000312, 0.000078, 51388.888889, 12847.222222
p-rw(r), 1000000, 4, 25, 0, 45.000000, 11.250000, 0.000720, 0.000180, 22642.288267, 5660.572067
p-rw(w), 1000000, 4, 75, 0, 56.000000, 14.000000, 0.000299, 0.000075, 53571.428571, 13392.857143
p-read, 1000000, 12, 100, 0, 562.000000, 46.833333, 0.000562, 0.000047, 256655.032742, 21387.919395
p-rw(r), 1000000, 6, 75, 0, 46.000000, 7.666667, 0.000368, 0.000061, 98214.285714, 16369.047619
p-rw(w), 1000000, 6, 25, 0, 20.000000, 3.333333, 0.000480, 0.000080, 76387.666667, 12731.277778
p-rw(r), 1000000, 6, 50, 0, 60.000000, 10.000000, 0.000720, 0.000120, 49999.800000, 8333.300000
p-rw(w), 1000000, 6, 50, 0, 48.000000, 8.000000, 0.000576, 0.000096, 63161.123016, 10526.853836
p-rw(r), 1000000, 6, 25, 0, 93.000000, 15.500000, 0.002232, 0.000372, 16145.575000, 2690.929167
p-rw(w), 1000000, 6, 75, 0, 84.000000, 14.000000, 0.000672, 0.000112, 53663.003663, 8943.833944
p-read, 1000000, 16, 100, 0, 1028.000000, 64.250000, 0.001028, 0.000064, 249075.924076, 15567.245255
p-rw(r), 1000000, 8, 75, 0, 52.000000, 6.500000, 0.000555, 0.000069, 116071.428571, 14508.928571
p-rw(w), 1000000, 8, 25, 0, 24.000000, 3.000000, 0.000768, 0.000096, 85937.500000, 10742.187500
p-rw(r), 1000000, 8, 50, 0, 77.000000, 9.625000, 0.001232, 0.000154, 52083.333333, 6510.416667
p-rw(w), 1000000, 8, 50, 0, 59.000000, 7.375000, 0.000944, 0.000118, 68080.357143, 8510.044643
p-rw(r), 1000000, 8, 25, 0, 104.000000, 13.000000, 0.003328, 0.000416, 19230.769231, 2403.846154
p-rw(w), 1000000, 8, 75, 0, 94.000000, 11.750000, 0.001003, 0.000125, 63920.454545, 7990.056818
p-read, 1000000, 24, 100, 0, 2421.000000, 100.875000, 0.002421, 0.000101, 238113.841405, 9921.410059
p-rw(r), 1000000, 12, 75, 0, 73.000000, 6.083333, 0.001168, 0.000097, 123511.904762, 10292.658730
p-rw(w), 1000000, 12, 25, 0, 37.000000, 3.083333, 0.001776, 0.000148, 83332.000000, 6944.333333
p-rw(r), 1000000, 12, 50, 0, 119.000000, 9.916667, 0.002856, 0.000238, 50462.155556, 4205.179630
p-rw(w), 1000000, 12, 50, 0, 81.000000, 6.750000, 0.001944, 0.000162, 74651.583333, 6220.965278
p-rw(r), 1000000, 12, 25, 0, 146.000000, 12.166667, 0.007008, 0.000584, 20565.910256, 1713.825855
p-rw(w), 1000000, 12, 75, 0, 129.000000, 10.750000, 0.002064, 0.000172, 70202.020202, 5850.168350
read, 10000000, 1, 100, 0, 51.000000, -1, 0.000005, -1, 196078.431373, -1
write, 10000000, 1, 100, 0, 155.000000, -1, 0.000016, -1, 64516.129032, -1
p-read, 10000000, 2, 100, 0, 352.000000, 176.000000, 0.000035, 0.000018, 113640.032284, 56820.016142
p-rw(r), 10000000, 1, 75, 0, 105.000000, 105.000000, 0.000014, 0.000014, 71428.571429, 71428.571429
p-rw(w), 10000000, 1, 25, 0, 70.000000, 70.000000, 0.000028, 0.000028, 35714.285714, 35714.285714
p-rw(r), 10000000, 1, 50, 0, 140.000000, 140.000000, 0.000028, 0.000028, 35714.285714, 35714.285714
p-rw(w), 10000000, 1, 50, 0, 126.000000, 126.000000, 0.000025, 0.000025, 39682.539683, 39682.539683
p-rw(r), 10000000, 1, 25, 0, 129.000000, 129.000000, 0.000052, 0.000052, 19379.844961, 19379.844961
p-rw(w), 10000000, 1, 75, 0, 145.000000, 145.000000, 0.000019, 0.000019, 51724.137931, 51724.137931
p-read, 10000000, 4, 100, 0, 1151.000000, 287.750000, 0.000115, 0.000029, 139035.967440, 34758.991860
p-rw(r), 10000000, 2, 75, 0, 250.000000, 125.000000, 0.000067, 0.000033, 60000.000000, 30000.000000
p-rw(w), 10000000, 2, 25, 0, 147.000000, 73.500000, 0.000118, 0.000059, 34205.137751, 17102.568876
p-rw(r), 10000000, 2, 50, 0, 280.000000, 140.000000, 0.000112, 0.000056, 35714.285714, 17857.142857
p-rw(w), 10000000, 2, 50, 0, 277.000000, 138.500000, 0.000111, 0.000055, 36101.553540, 18050.776770
p-rw(r), 10000000, 2, 25, 0, 135.000000, 67.500000, 0.000108, 0.000054, 37087.912088, 18543.956044
p-rw(w), 10000000, 2, 75, 0, 353.000000, 176.500000, 0.000094, 0.000047, 42495.987159, 21247.993579
p-read, 10000000, 8, 100, 0, 3403.000000, 425.375000, 0.000340, 0.000043, 188098.508027, 23512.313503
p-rw(r), 10000000, 4, 75, 0, 443.000000, 110.750000, 0.000236, 0.000059, 67737.661507, 16934.415377
p-rw(w), 10000000, 4, 25, 0, 228.000000, 57.000000, 0.000365, 0.000091, 43921.229038, 10980.307259
p-rw(r), 10000000, 4, 50, 0, 522.000000, 130.500000, 0.000418, 0.000104, 38314.738696, 9578.684674
p-rw(w), 10000000, 4, 50, 0, 475.000000, 118.750000, 0.000380, 0.000095, 42152.449823, 10538.112456
p-rw(r), 10000000, 4, 25, 0, 424.000000, 106.000000, 0.000678, 0.000170, 23587.004895, 5896.751224
p-rw(w), 10000000, 4, 75, 0, 623.000000, 155.750000, 0.000332, 0.000083, 48157.449187, 12039.362297
p-read, 10000000, 12, 100, 0, 5842.000000, 486.833333, 0.000584, 0.000049, 246492.458761, 20541.038230
p-rw(r), 10000000, 6, 75, 0, 484.000000, 80.666667, 0.000387, 0.000065, 92978.395062, 15496.399177
p-rw(w), 10000000, 6, 25, 0, 257.000000, 42.833333, 0.000617, 0.000103, 58488.025121, 9748.004187
p-rw(r), 10000000, 6, 50, 0, 653.000000, 108.833333, 0.000784, 0.000131, 45942.330700, 7657.055117
p-rw(w), 10000000, 6, 50, 0, 534.000000, 89.000000, 0.000641, 0.000107, 56206.017514, 9367.669586
p-rw(r), 10000000, 6, 25, 0, 816.000000, 136.000000, 0.001958, 0.000326, 18382.323529, 3063.720588
p-rw(w), 10000000, 6, 75, 0, 781.000000, 130.166667, 0.000625, 0.000104, 57624.545997, 9604.090999
p-read, 10000000, 16, 100, 0, 9196.000000, 574.750000, 0.000920, 0.000057, 278387.761028, 17399.235064
p-rw(r), 10000000, 8, 75, 0, 563.000000, 70.375000, 0.000601, 0.000075, 106576.961771, 13322.120221
p-rw(w), 10000000, 8, 25, 0, 314.000000, 39.250000, 0.001005, 0.000126, 63775.037319, 7971.879665
p-rw(r), 10000000, 8, 50, 0, 802.000000, 100.250000, 0.001283, 0.000160, 49878.737874, 6234.842234
p-rw(w), 10000000, 8, 50, 0, 624.000000, 78.000000, 0.000998, 0.000125, 64121.427096, 8015.178387
